0
400,240,160,360,1.2,1.2,1.1,1.5,0
600,360,240,540,1.2,1.2,1.1,1.5,0
0
800,480,320,720,1.2,1.2,1.1,1.5,0
0
1200,720,480,1080,1.2,1.2,1.11,1.5,1
0
1400,840,560,1260,1.2,1.2,1.11,1.5,1
1600,960,640,1440,1.2,1.2,1.11,1.5,1
0
0
2000,1200,800,1800,1.2,1.2,1.12,1.5,2
2200,1320,880,1980,1.2,1.2,1.12,1.5,2
2400,1440,960,2160,1.2,1.2,1.12,1.5,2
2800,1680,1120,2520,1.2,1.2,1.13,1.5,3
3200,1920,1280,2880,1.2,1.2,1.13,1.5,3
0
3400,2040,1360,3060,1.2,1.2,1.13,1.5,3
0
0
3800,2280,1520,3420,1.2,1.2,1.14,1.5,4
0
0
4200,2520,1680,3780,1.2,1.2,1.15,1.5,5
4400,2640,1760,3960,1.2,1.2,1.15,1.5,5
4600,2760,1840,4140,1.2,1.2,1.15,1.5,5
0
5000,3000,2000,4500,1.2,1.2,1.16,1.5,4
5200,3120,2080,4680,1.2,1.2,1.16,1.5,4
0
5600,3360,2240,5040,1.2,1.2,1.17,1.5,6
0
5800,3480,2320,5220,1.2,1.2,1.17,1.5,6
6000,3600,2400,5400,1.2,1.2,1.17,1.5,6
6400,3840,2560,5760,1.2,1.2,1.18,1.5,7
0
0
6600,3960,2640,5940,1.2,1.2,1.18,1.5,7
6800,4080,2720,6120,1.2,1.2,1.18,1.5,7
